user_id,user_name,message_content,send_time,message_type,chat_room,device_type,message_length
user_1424,杨丽,[image_message],2024-12-13 23:39:41,image,游戏开黑群,Android,28
user_1886,杨敏,[image_message],2024-03-11 04:16:38,image,游戏开黑群,Windows,68
user_1475,黄娟,[image_message],2024-01-19 07:48:26,image,学习小组,Mac,12
user_1581,陈勇,[image_message],2024-11-04 06:00:21,image,生活闲聊群,Mac,67
user_1553,周秀英,这个问题怎么解决？,2024-05-25 22:49:29,text,学习小组,Web,9
user_1791,周娜,[voice_message],2024-10-15 15:28:30,voice,工作通知群,iOS,51
user_1758,王洋,周末有什么计划？,2024-02-05 09:09:07,text,学习小组,Mac,8
user_1987,黄秀英,[voice_message],2024-01-14 15:09:06,voice,游戏开黑群,iOS,98
user_1907,陈磊,求助，这个bug怎么解决,2024-02-09 18:09:37,text,生活闲聊群,Windows,12
user_1031,吴军,[voice_message],2024-01-18 19:32:11,voice,生活闲聊群,Web,67
user_1176,杨勇,[voice_message],2024-08-11 03:27:40,voice,学习小组,Web,63
user_1787,周敏,[image_message],2024-06-15 09:49:34,image,游戏开黑群,Windows,22
user_1438,吴军,[voice_message],2024-09-13 00:53:26,voice,游戏开黑群,Mac,36
user_1418,刘娜,[voice_message],2024-10-19 23:40:22,voice,学习小组,Web,20
user_1625,陈军,[voice_message],2024-05-05 10:17:12,voice,技术交流群,Android,60
user_1314,刘娟,[image_message],2024-06-16 22:10:50,image,游戏开黑群,Android,55
user_1871,黄磊,[image_message],2024-03-30 05:18:14,image,游戏开黑群,Android,63
user_1189,吴勇,服务器挂了，紧急处理,2024-10-11 11:31:37,text,生活闲聊群,iOS,10
user_1126,王娜,[image_message],2024-09-17 10:56:01,image,学习小组,Web,51
user_1177,杨静,项目进度如何？,2024-09-10 20:40:20,text,工作通知群,Windows,7
user_1460,杨军,[image_message],2024-09-30 22:02:40,image,学习小组,Windows,59
user_1325,刘丽,[image_message],2024-06-30 16:52:54,image,游戏开黑群,iOS,44
user_1042,周秀英,[voice_message],2024-07-01 13:57:57,voice,游戏开黑群,Windows,71
user_1574,吴勇,[image_message],2024-03-02 10:18:56,image,游戏开黑群,Windows,26
user_1576,周军,会议几点开始？,2024-05-25 10:05:09,text,技术交流群,Mac,7
user_1115,陈芳,推荐一本好书,2024-05-25 17:26:10,text,技术交流群,Android,6
user_1979,周敏,[image_message],2024-01-22 08:07:22,image,游戏开黑群,Web,56
user_1612,张洋,项目进度如何？,2024-11-18 17:15:56,text,技术交流群,Windows,7
user_1830,李娜,学习到了新知识,2024-03-26 19:25:06,text,技术交流群,Android,7
user_1691,杨伟,项目进度如何？,2024-11-17 20:27:39,text,生活闲聊群,Mac,7
user_1461,陈杰,[voice_message],2024-12-28 14:26:28,voice,学习小组,iOS,56
user_1902,刘伟,这个功能很好用,2024-12-28 15:55:12,text,工作通知群,iOS,7
user_1187,赵丽,[image_message],2024-04-27 04:04:19,image,生活闲聊群,iOS,49
user_1283,赵芳,[image_message],2024-11-18 19:23:21,image,技术交流群,Windows,78
user_1113,赵秀英,[voice_message],2024-06-03 12:58:02,voice,游戏开黑群,Web,54
user_1633,李勇,推荐一本好书,2024-11-22 20:15:34,text,工作通知群,Mac,6
user_1876,刘强,[image_message],2024-03-20 22:06:10,image,技术交流群,Windows,69
user_1025,王秀英,[voice_message],2024-02-02 09:46:40,voice,工作通知群,Web,24
user_1376,周勇,[voice_message],2024-11-28 21:37:09,voice,生活闲聊群,iOS,48
user_1722,陈伟,周末有什么计划？,2024-03-29 00:08:17,text,生活闲聊群,Mac,8
user_1680,王强,[image_message],2024-04-08 10:24:34,image,技术交流群,iOS,39
user_1222,杨杰,[voice_message],2024-08-09 10:36:41,voice,技术交流群,Mac,47
user_1746,杨磊,[image_message],2024-08-30 23:30:48,image,学习小组,Windows,74
user_1306,吴强,新人报到，请多关照,2024-08-22 17:25:29,text,生活闲聊群,Windows,9
user_1193,黄伟,[image_message],2024-10-03 11:47:33,image,学习小组,Mac,12
user_1147,王磊,[image_message],2024-07-04 11:39:29,image,生活闲聊群,Web,39
user_1291,吴勇,[voice_message],2024-04-10 19:46:56,voice,工作通知群,iOS,31
user_1593,黄敏,API文档更新了,2024-02-09 02:30:17,text,学习小组,Web,8
user_1077,王丽,[voice_message],2024-01-14 14:58:18,voice,工作通知群,Web,64
user_1797,赵静,[image_message],2024-01-18 22:02:02,image,学习小组,Android,85
user_1454,刘军,[image_message],2024-06-25 22:21:33,image,生活闲聊群,Web,42
user_1952,张敏,谢谢分享！,2024-05-20 00:33:00,text,生活闲聊群,Web,5
user_1832,李伟,推荐一本好书,2024-10-30 23:23:59,text,技术交流群,Web,6
user_1937,刘杰,[voice_message],2024-10-23 01:48:08,voice,学习小组,Windows,83
user_1413,陈勇,推荐一本好书,2024-01-02 20:29:13,text,游戏开黑群,iOS,6
user_1085,张娜,周末有一起打球的吗？,2024-06-17 02:16:33,text,工作通知群,Mac,10
user_1920,吴洋,[image_message],2024-11-17 23:42:32,image,生活闲聊群,Web,42
user_1857,吴娜,[image_message],2024-04-13 19:19:51,image,学习小组,Android,71
user_1955,赵芳,[image_message],2024-06-30 06:52:26,image,学习小组,iOS,91
user_1953,黄强,今天的任务完成了,2024-11-18 00:51:40,text,学习小组,Web,8
user_1051,张杰,[image_message],2024-06-05 00:55:47,image,生活闲聊群,iOS,86
user_1029,黄静,这个问题怎么解决？,2024-12-10 12:20:18,text,技术交流群,Mac,9
user_1678,王磊,[image_message],2024-04-05 11:32:08,image,游戏开黑群,Windows,33
user_1229,赵娟,[image_message],2024-10-31 06:17:38,image,技术交流群,Android,73
user_1360,周军,有人在线吗？,2024-01-06 14:26:01,text,生活闲聊群,Android,6
user_1373,周涛,项目进度如何？,2024-05-03 01:35:30,text,学习小组,Windows,7
user_1009,杨娜,[image_message],2024-12-19 18:23:08,image,游戏开黑群,iOS,100
user_1258,吴芳,[image_message],2024-12-04 22:22:20,image,学习小组,Mac,10
user_1994,周杰,[voice_message],2024-03-18 17:41:17,voice,生活闲聊群,Android,94
user_1499,周磊,[image_message],2024-03-01 05:49:40,image,工作通知群,iOS,60
user_1043,杨涛,[image_message],2024-04-22 16:29:14,image,学习小组,Windows,74
